dist, mode, threads, ds,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_LD_INS
skewed,r,1,aksenov_splaylist_64,0,,,
skewed,r,4,aksenov_splaylist_64,0,,,
skewed,r,8,aksenov_splaylist_64,0,,,
skewed,rw,1,aksenov_splaylist_64,0,,,
skewed,rw,4,aksenov_splaylist_64,0,,,
skewed,rw,8,aksenov_splaylist_64,0,,,
uniform,r,1,aksenov_splaylist_64,0,,,
uniform,r,4,aksenov_splaylist_64,0,,,
uniform,r,8,aksenov_splaylist_64,0,,,
uniform,rw,1,aksenov_splaylist_64,0,,,
uniform,rw,4,aksenov_splaylist_64,0,,,
uniform,rw,8,aksenov_splaylist_64,0,,,
skewed,r,1,bronson_pext_bst_occ,0,,,
skewed,r,4,bronson_pext_bst_occ,0,,,
skewed,r,8,bronson_pext_bst_occ,0,,,
skewed,rw,1,bronson_pext_bst_occ,0,,,
skewed,rw,4,bronson_pext_bst_occ,0,,,
skewed,rw,8,bronson_pext_bst_occ,0,,,
uniform,r,1,bronson_pext_bst_occ,0,,,
uniform,r,4,bronson_pext_bst_occ,0,,,
uniform,r,8,bronson_pext_bst_occ,0,,,
uniform,rw,1,bronson_pext_bst_occ,0,,,
uniform,rw,4,bronson_pext_bst_occ,0,,,
uniform,rw,8,bronson_pext_bst_occ,0,,,
skewed,r,1,brown_ext_abtree_lf,0,,,
skewed,r,4,brown_ext_abtree_lf,0,,,
skewed,r,8,brown_ext_abtree_lf,0,,,
skewed,rw,1,brown_ext_abtree_lf,0,,,
skewed,rw,4,brown_ext_abtree_lf,0,,,
skewed,rw,8,brown_ext_abtree_lf,0,,,
uniform,r,1,brown_ext_abtree_lf,0,,,
uniform,r,4,brown_ext_abtree_lf,0,,,
uniform,r,8,brown_ext_abtree_lf,0,,,
uniform,rw,1,brown_ext_abtree_lf,0,,,
uniform,rw,4,brown_ext_abtree_lf,0,,,
uniform,rw,8,brown_ext_abtree_lf,0,,,
skewed,r,1,brown_ext_bslack_rq_lf,0,,,
skewed,r,4,brown_ext_bslack_rq_lf,0,,,
skewed,r,8,brown_ext_bslack_rq_lf,0,,,
skewed,rw,1,brown_ext_bslack_rq_lf,0,,,
skewed,rw,4,brown_ext_bslack_rq_lf,0,,,
skewed,rw,8,brown_ext_bslack_rq_lf,0,,,
uniform,r,1,brown_ext_bslack_rq_lf,0,,,
uniform,r,4,brown_ext_bslack_rq_lf,0,,,
uniform,r,8,brown_ext_bslack_rq_lf,0,,,
uniform,rw,1,brown_ext_bslack_rq_lf,0,,,
uniform,rw,4,brown_ext_bslack_rq_lf,0,,,
uniform,rw,8,brown_ext_bslack_rq_lf,0,,,
skewed,r,1,ellen_ext_bst_lf,0,,,
skewed,r,4,ellen_ext_bst_lf,0,,,
skewed,r,8,ellen_ext_bst_lf,0,,,
skewed,rw,1,ellen_ext_bst_lf,0,,,
skewed,rw,4,ellen_ext_bst_lf,0,,,
skewed,rw,8,ellen_ext_bst_lf,0,,,
uniform,r,1,ellen_ext_bst_lf,0,,,
uniform,r,4,ellen_ext_bst_lf,0,,,
uniform,r,8,ellen_ext_bst_lf,0,,,
uniform,rw,1,ellen_ext_bst_lf,0,,,
uniform,rw,4,ellen_ext_bst_lf,0,,,
uniform,rw,8,ellen_ext_bst_lf,0,,,
skewed,r,1,guerraoui_ext_bst_ticket,0,,,
skewed,r,4,guerraoui_ext_bst_ticket,0,,,
skewed,r,8,guerraoui_ext_bst_ticket,0,,,
